video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption
ygEF3MlHGJA,Soy el Barone #Shorts,Esta cobra escupidora es la mejor manguera que he visto en mi vida,"#shorts #espanhol #puebras
El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-31T04:00:36Z,385251,36553,,120,PT54S,hd,false
nPsGGrVBaI4,Soy el Barone #Shorts,Este vaso convierte cualquier cosa en un GRANIZADO instantáneo,"#shorts #espanhol #puebras
El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-30T18:00:32Z,133948,19836,,124,PT48S,hd,false
3SDqcswvvvE,Soy el Barone #Shorts,Este producto del anuncio estadounidense es increíble,"#shorts #espanhol #puebras 
El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-30T14:30:02Z,120291,14885,,96,PT59S,hd,false
9CQxFxaEv7A,Soy el Barone #Shorts,Esta pistola de agua automática tiene la mayor fuidez del mundo,"#shorts #espanhol #puebras
El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-29T18:00:06Z,167183,21765,,133,PT54S,hd,false
QCYZ857e-OM,Soy el Barone #Shorts,Probando el LED de automóvil inteligente viral de Internet,"#shorts #espanhol #puebras
El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-29T14:30:14Z,112448,14203,,47,PT49S,hd,false
6xsYkINrI6w,Soy el Barone #Shorts,Esta kona para PESCA de marlines gigantes es increíble,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-28T18:00:05Z,637640,81751,,352,PT59S,hd,false
tJObPrtEi0s,Soy el Barone #Shorts,Probé este abridor automático y tuve una sorpresa muy desagradable,"#shorts #espanhol #puebras
El enlace a todos los productos probados en el video está destacado en mi perfil aquí en YouTube!","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-28T14:30:31Z,291487,34822,,344,PT57S,hd,false
NjlErouEvg0,Soy el Barone #Shorts,HIZO UN TECHO SOLAR EN EL AUTO,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-27T18:30:20Z,133931,11445,,129,PT56S,hd,false
mcxrVmvjbwA,Soy el Barone #Shorts,Probando el experimento de las pilas magnetizada viral,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-27T14:30:25Z,219248,25186,,145,PT52S,hd,false
UhVIwdR7xSo,Soy el Barone #Shorts,Este dispositivo AHUYENTA a los perros AGRESIVOS,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-26T18:30:22Z,211790,27857,,299,PT56S,hd,false
dGF5XnalRmg,Soy el Barone #Shorts,Cada automóvil tiene este dispositivo que podría SALVARTE LA VIDA,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-26T14:30:12Z,327484,45414,,274,PT50S,hd,false
L_XnWlzxbCU,Soy el Barone #Shorts,Probando la pistola de avión que se volvió viral en internet,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-25T18:30:30Z,170327,22125,,120,PT55S,hd,false
IH8kTXVMzLs,Soy el Barone #Shorts,Este producto convierte cualquier auto en una CAMA,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DEVoIa3","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-25T14:30:05Z,269887,30192,,130,PT57S,hd,false
-LttYTTNpFg,Soy el Barone #Shorts,Probando el bolígrafo 3D viral de Internet,"#shorts #espanhol #puebras 
Elnace https://s.click.aliexpress.com/e/_DkXUN59","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-24T18:30:00Z,274109,31009,,113,PT57S,hd,false
CpfsZkAwOU4,Soy el Barone #Shorts,Este spray de nanotecnología promete repeler la lluvia de tu espejo retrovisor,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-24T14:30:05Z,1027200,114015,,360,PT56S,hd,false
Q86i6LVhkmA,Soy el Barone #Shorts,Probé el peligroso pegamento que se seca en un solo SEGUNDO,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DCxinIj","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-23T18:10:00Z,533694,72687,,230,PT59S,hd,false
Tsr9VTb1Bk4,Soy el Barone #Shorts,¿Qué hay dentro de un perfume de $558 dólares,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-23T14:30:09Z,362940,53630,,354,PT56S,hd,false
nLBivLl_c5o,Soy el Barone #Shorts,Este hongo humidificador promete noches de sueño muy tranquilas,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_De7GKHb","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-22T18:30:39Z,89336,9902,,63,PT47S,hd,false
Ol8belMb2G0,Soy el Barone #Shorts,Probé el famoso café de ORO en Dubai,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-22T14:30:12Z,324877,52167,,355,PT54S,hd,false
Vw_5C04QXOQ,Soy el Barone #Shorts,Compré una montaña rusa fosforescente de movimiento perpetuo,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DDCvKkx","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-21T18:00:12Z,141801,15633,,98,PT58S,hd,false
pnnr09N7k44,Soy el Barone #Shorts,Creé un auto usando este cubo láser,"#shorts #espanhol #puebras
Enlace https://www.laseros.com/","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-21T14:30:30Z,339397,41430,,97,PT59S,hd,false
ZjJUXPrUcsI,Soy el Barone #Shorts,Esta pasta antilluvia promete jubilar a los limpiaparabrisas,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DkKW7Id","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-20T18:00:14Z,121702,12446,,60,PT47S,hd,false
zT0CdSquOg0,Soy el Barone #Shorts,Los talleres de carrocería se están volviendo locos después del lanzamiento de este producto,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_Dknw7jp","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-20T14:30:26Z,1464787,143041,,351,PT59S,hd,false
W1Pb7Q1fIDc,Soy el Barone #Shorts,Unpacking the new Titanium and Sapphire Apple Watch 🍎😱⌚,"#shorts #espanhol #puebras
Enlace","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-19T18:00:11Z,86554,7426,,73,PT49S,hd,false
q21YH_3udIk,Soy el Barone #Shorts,Probé la cinta mágica que promete detener las fugas en alta presión,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-19T14:30:16Z,336686,32015,,148,PT55S,hd,false
oLtxiSqNS4E,Soy el Barone #Shorts,Probé el milagroso jabón de coco chino,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DkRJDhb","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-18T18:00:31Z,617242,85033,,180,PT57S,hd,false
gYspkHBFZew,Soy el Barone #Shorts,Este ácido restaurador promete dejar tu vehículo como nuevo,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-18T14:30:15Z,353583,45761,,159,PT56S,hd,false
UUyMxbjYXss,Soy el Barone #Shorts,Este cortador de cebollas convierte a cualquier persona en un master chef,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DCt677X","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-17T18:00:21Z,174540,18684,,91,PT49S,hd,false
qUjXSq8KRYI,Soy el Barone #Shorts,Este súper guante de proyección láser es una locura,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DeuhmaD","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-17T14:30:17Z,118548,13601,,81,PT55S,hd,false
skpDRagBiqA,Soy el Barone #Shorts,Esta bolsa de seguridad antirrobo tiene una cerradura biométrica,"#shorts #espanhol #puebras
Enlace  https://s.click.aliexpress.com/e/_DlkQBKt","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-16T18:00:32Z,312935,29787,,148,PT55S,hd,false
IcgfzI7tuxM,Soy el Barone #Shorts,Probé la máquina portátil que congela latas en menos de 1 minuto,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-16T14:30:06Z,2971792,202699,,1022,PT59S,hd,false
Jl-26XZZZXI,Soy el Barone #Shorts,Probé la tiza que promete soldar cualquier metal shorts chi,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-15T18:00:12Z,169702,13714,,331,PT59S,hd,false
lqw_HCgzMxQ,Soy el Barone #Shorts,Porque este colchón tiene la mejor valoración en internet,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DDzJRK5","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-15T14:30:31Z,334282,42067,,188,PT54S,hd,false
rfHJgLgDr38,Soy el Barone #Shorts,Probando la súper granada de airsoft viral de Internet,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-14T18:00:32Z,265636,38560,,102,PT52S,hd,false
CKjXYZkszhc,Soy el Barone #Shorts,Este ventilador LED que proyecta hologramas 3D es Increíble,"#shorts #espanhol #puebras
Enlace","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-14T14:30:04Z,350438,41413,,196,PT56S,hd,false
LYQtLdmiNa8,Soy el Barone #Shorts,Este es el invento más GENIAL que he visto en mi vida,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-13T18:00:18Z,1304895,185697,,1214,PT57S,hd,false
CaNar0y9pmU,Soy el Barone #Shorts,Cómo abrir la caja del candado imposible shorts,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-13T14:30:05Z,113822,11957,,69,PT53S,hd,false
zkw-s52i-xo,Soy el Barone #Shorts,No creerás lo que hay dentro de esta caja,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-12T18:00:27Z,197566,23372,,104,PT53S,hd,false
B1DLirkOEY0,Soy el Barone #Shorts,Este súper dispositivo deja la temperatura de tu ducha a la medida,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_Ap6Qj9","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-12T14:00:07Z,206298,23979,,131,PT59S,hd,false
9Q5Z7MLSlc0,Soy el Barone #Shorts,Esta sandwichera DUPLEX hace el sándwich perfecto sin tener mucha habilidad,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-11T18:00:03Z,1033742,125853,,380,PT54S,hd,false
xYZMG62hT0U,Soy el Barone #Shorts,Esta cinta mágica repara todo con una armadura tan fuerte como el acero,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DBAtkjx","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-11T14:00:42Z,2111304,188059,,477,PT59S,hd,false
wgb69KMIn6Q,Soy el Barone #Shorts,Este parche promete desintoxicar tu cuerpo a través de los Pies,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DBAqJZz","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-10T18:00:23Z,113088,11305,,110,PT56S,hd,false
5AuYlg-zZOQ,Soy el Barone #Shorts,Este bolígrafo mágico evapora instantáneamente las manchas de la ropa,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_Dd5186h","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-10T14:00:06Z,140399,15646,,63,PT54S,hd,false
BSUcNPNM3G8,Soy el Barone #Shorts,Este dispositivo DERRITE la batería de cualquier aparato electrónico,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-09T18:00:05Z,810781,100501,,668,PT57S,hd,false
8AvQ1iiD3JE,Soy el Barone #Shorts,Este súper pegamento restaurador de cuero es el más viral en Internet,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DkNuiYH","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-09T14:00:09Z,7164,269,,21,PT3M1S,hd,false
kjW06wmOR1w,Soy el Barone #Shorts,Abrimos el perfume secreto de Rolex que no está a la venta,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-08T18:00:17Z,122015,18148,,129,PT53S,hd,false
LxoqcJcTf9Q,Soy el Barone #Shorts,Probé una cámara de seguridad SOLAR que no necesita cables,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DFZH8af","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-08T14:00:24Z,252681,35870,,133,PT58S,hd,false
frO4mE_42Ts,Soy el Barone #Shorts,Qué hay dentro de una maleta que cuesta U$ 2,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-07T18:00:31Z,428266,71234,,157,PT50S,hd,false
O2Ac3AWpzwU,Soy el Barone #Shorts,Esta moneda de Apple rastrea cualquier cosa con precisión militar,"#shorts #espanhol #puebras
Enlace https://amzn.to/43O6VAG","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-07T14:00:25Z,266845,41898,,169,PT56S,hd,false
AgyTaWb-S3w,Soy el Barone #Shorts,Monté una miniautopista de autitos en CASA,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DmKsysT","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-06T18:00:05Z,707423,65590,,361,PT44S,hd,false
OTseAMntP7s,Soy el Barone #Shorts,Probé el acelerador manual que enciende la barbacoa en instantes,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DkkxCLT","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-06T14:00:11Z,272573,30902,,165,PT46S,hd,false
8NaLD5mU0_I,Soy el Barone #Shorts,Este calefactor llega a 100 grados en 10 segundos,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DBSoFnN","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-05T18:00:02Z,118584,14575,,112,PT59S,hd,false
5rLqUSg8TJ0,Soy el Barone #Shorts,Esta escoba tiene una súper aspiradora incorporada,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DFWPkO7","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-05T14:00:05Z,243822,30272,,126,PT54S,hd,false
Km0VsxKP7FQ,Soy el Barone #Shorts,Este producto convierte tu grifo en una central hidroeléctrica,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DeL9hYx","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-04T18:00:08Z,7235,302,,23,PT3M1S,hd,false
r7YRRN1mUFo,Soy el Barone #Shorts,Este aparato chin chon promete facilitar tu mudanza,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DeIU8Pp","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-04T14:00:39Z,996237,137570,,423,PT57S,hd,false
tJTHEZnnxyQ,Soy el Barone #Shorts,Los servicios de lavado rápido de autos no quieren que descubras este producto,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-03T18:00:31Z,156602,14828,,95,PT59S,hd,false
76kquVf0Tmk,Soy el Barone #Shorts,Este Pendrive tiene más de 10 mil juegos de playstation,#shorts #espanhol #puebras,"['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-03T14:15:00Z,52448,6414,,83,PT58S,hd,false
1vWOPgzcX3o,Soy el Barone #Shorts,Esto convierte cualquier balde en una lavadora súper poderosa,"#shorts #espanhol #puebras
Enlace https://s.click.aliexpress.com/e/_DDlsNz1","['puebra', 'productos', 'pruebas', 'viral', 'curisosidades']",2023-08-02T18:00:02Z,84887,10368,,62,PT55S,hd,false
